seq,wall_ms,timeCode,eventType,deviceType,userEvent,origReturn,latched
437,103767,1649,2,1,,0,0
438,103767,1650,4,2,,0,1
439,103767,1651,4,2,,1,1
440,103780,1652,1,1,,0,0
441,103780,1653,2,1,,0,0
442,103780,1654,4,2,,0,1
443,103780,1655,4,2,,1,1
444,103792,1656,1,1,,0,0
445,103792,1657,2,1,,0,0
446,103792,1658,4,2,,0,1
447,103792,1659,4,2,,1,1
448,103805,1660,1,1,,0,0
449,103805,1661,2,1,,0,0
450,103805,1662,4,2,,0,1
451,103805,1663,4,2,,1,1
452,103818,1664,1,1,,0,0
453,103818,1665,2,1,,0,0
454,103818,1666,4,2,,0,1
455,103831,1667,1,1,,0,0
456,103831,1668,2,1,,0,0
457,103831,1669,4,2,,0,1
458,103844,1670,1,1,,0,0
459,103844,1671,2,1,,0,0
460,103844,1672,4,2,,0,1
461,103856,1673,1,1,,0,0
462,103856,1674,2,1,,0,0
463,103856,1675,4,2,,0,1
464,103869,1676,1,1,,0,0
465,103869,1677,2,1,,0,0
466,103869,1678,4,2,,0,1
467,103882,1679,1,1,,0,0
468,103882,1680,2,1,,0,0
469,103882,1681,4,2,,0,1
470,103895,1682,1,1,,0,0
471,103895,1683,2,1,,0,0
472,103895,1684,4,2,,0,1
473,103908,1685,1,1,,0,0
474,103908,1686,2,1,,0,0
475,103908,1687,4,2,,0,1
476,103920,1688,1,1,,0,0
477,103920,1689,2,1,,0,0
478,103920,1690,4,2,,0,1
479,103933,1691,1,1,,0,0
480,103933,1692,2,1,,0,0
481,103933,1693,4,2,,0,1
482,103945,1694,1,1,,0,0
483,103946,1695,2,1,,0,0
484,103957,1696,1,1,,0,0
485,103957,1697,2,1,,0,0
486,103969,1698,1,1,,0,0
487,103969,1699,2,1,,0,0
488,103981,1700,1,1,,0,0
489,103981,1701,2,1,,0,0
490,103993,1702,1,1,,0,0
491,103993,1703,2,1,,0,0
492,104004,1704,1,1,,0,0
493,104004,1705,2,1,,0,0
494,104016,1706,1,1,,0,0
495,104016,1707,2,1,,0,0
496,104029,1708,1,1,,0,0
497,104029,1709,2,1,,0,0
498,104041,1710,1,1,,0,0
499,104041,1711,2,1,,0,0
500,104053,1712,1,1,,0,0
501,104053,1713,2,1,,0,0
502,104066,1714,1,1,,0,0
503,104066,1715,2,1,,0,0
504,104079,1716,1,1,,0,0
505,104079,1717,2,1,,0,0
506,104092,1718,1,1,,0,0
507,104092,1719,2,1,,0,0
508,104105,1720,1,1,,0,0
509,104105,1721,2,1,,0,0
510,104118,1722,1,1,,0,0
511,104118,1723,2,1,,0,0
512,104131,1724,1,1,,0,0
513,104131,1725,2,1,,0,0
514,104144,1726,1,1,,0,0
515,104144,1727,2,1,,0,0
516,104157,1728,1,1,,0,0
517,104157,1729,2,1,,0,0
518,104170,1730,1,1,,0,0
519,104170,1731,2,1,,0,0
520,104182,1732,1,1,,0,0
521,104194,1733,1,1,,0,0
522,104194,1734,2,1,,0,0
523,104205,1735,1,1,,0,0
524,104205,1736,2,1,,0,0
525,104217,1737,1,1,,0,0
526,104217,1738,2,1,,0,0
527,104229,1739,1,1,,0,0
528,104229,1740,2,1,,0,0
529,104241,1741,1,1,,0,0
530,104241,1742,2,1,,0,0
531,104252,1743,1,1,,0,0
532,104252,1744,2,1,,0,0
533,104264,1745,1,1,,0,0
534,104264,1746,2,1,,0,0
535,104276,1747,1,1,,0,0
536,104276,1748,2,1,,0,0
537,104289,1749,1,1,,0,0
538,104289,1750,2,1,,0,0
539,104301,1751,1,1,,0,0
540,104301,1752,2,1,,0,0
541,104313,1753,1,1,,0,0
542,104313,1754,2,1,,0,0
543,104325,1755,1,1,,0,0
544,104325,1756,2,1,,0,0
545,104337,1757,1,1,,0,0
546,104337,1758,2,1,,0,0
547,104349,1759,1,1,,0,0
548,104349,1760,2,1,,0,0
549,104361,1761,1,1,,0,0
550,104361,1762,2,1,,0,0
551,104373,1763,1,1,,0,0
552,104373,1764,2,1,,0,0
553,104384,1765,1,1,,0,0
554,104384,1766,2,1,,0,0
555,104395,1767,1,1,,0,0
556,104395,1768,2,1,,0,0
557,104407,1769,1,1,,0,0
558,104407,1770,2,1,,0,0
559,104418,1771,1,1,,0,0
560,104418,1772,2,1,,0,0
561,104429,1773,1,1,,0,0
562,104440,1774,1,1,,0,0
563,104451,1775,1,1,,0,0
564,104463,1776,1,1,,0,0
565,104474,1777,1,1,,0,0
566,104474,1778,2,1,,0,0
567,104486,1779,1,1,,0,0
568,104486,1780,2,1,,0,0
569,104498,1781,1,1,,0,0
570,104498,1782,2,1,,0,0
571,104510,1783,1,1,,0,0
572,104510,1784,2,1,,0,0
573,104522,1785,1,1,,0,0
574,104522,1786,2,1,,0,0
575,104535,1787,1,1,,0,0
576,104535,1788,2,1,,0,0
577,104548,1789,1,1,,0,0
578,104548,1790,2,1,,0,0
579,104559,1791,1,1,,0,0
580,104559,1792,2,1,,0,0
581,104572,1793,1,1,,0,0
582,104572,1794,2,1,,0,0
583,104584,1795,1,1,,0,0
584,104584,1796,2,1,,0,0
585,104596,1797,1,1,,0,0
586,104596,1798,2,1,,0,0
587,104609,1799,1,1,,0,0
588,104609,1800,2,1,,0,0
589,104621,1801,1,1,,0,0
590,104621,1802,2,1,,0,0
591,104633,1803,1,1,,0,0
592,104633,1804,2,1,,0,0
593,104645,1805,1,1,,0,0
594,104645,1806,2,1,,0,0
595,104656,1807,1,1,,0,0
596,104656,1808,2,1,,0,0
597,104668,1809,1,1,,0,0
598,104668,1810,2,1,,0,0
599,104679,1811,1,1,,0,0
600,104679,1812,2,1,,0,0
